Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä, Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana;
ti 22 heinä 2014 15:00;;226;;197;;;;;;;;181;143;334;;140;;;;328;
ti 22 heinä 2014 16:00;;234;;242;;;;;;;;204;206;424;;161;;;;428;
ti 22 heinä 2014 17:00;;229;;254;;;;;;;;207;178;357;;179;;;;399;
ti 22 heinä 2014 18:00;;163;;156;;;;;;;;145;111;283;;141;;;;305;
ti 22 heinä 2014 19:00;;157;;142;;;;;;;;131;95;269;;153;;;;252;
ti 22 heinä 2014 20:00;;103;;144;;;;;;;;139;113;220;;113;;;;215;
ti 22 heinä 2014 21:00;;72;;89;;;;;;;;91;53;173;;111;;;;183;
ti 22 heinä 2014 22:00;;59;;44;;;;;;;;45;53;101;;72;;;;92;
ti 22 heinä 2014 23:00;;30;;32;;;;;;;;25;20;29;;69;;;;45;
ke 23 heinä 2014 00:00;;15;;11;;;;;;;;9;21;10;;44;;;;28;
ke 23 heinä 2014 01:00;;12;;4;;;;;;;;1;5;1;;31;;;;15;
ke 23 heinä 2014 02:00;;4;;8;;;;;;;;6;2;7;;19;;;;3;
ke 23 heinä 2014 03:00;;4;;5;;;;;;;;0;0;2;;16;;;;3;
ke 23 heinä 2014 04:00;;0;;9;;;;;;;;1;2;4;;6;;;;8;
ke 23 heinä 2014 05:00;;10;;14;;;;;;;;6;9;21;;11;;;;26;
ke 23 heinä 2014 06:00;;44;;54;;;;;;;;62;56;90;;28;;;;120;
ke 23 heinä 2014 07:00;;106;;105;;;;;;;;163;123;204;;34;;;;240;
ke 23 heinä 2014 08:00;;184;;174;;;;;;;;143;115;299;;63;;;;333;
ke 23 heinä 2014 09:00;;120;;98;;;;;;;;74;69;191;;67;;;;198;
ke 23 heinä 2014 10:00;;95;;94;;;;;;;;69;61;171;;82;;;;195;
ke 23 heinä 2014 11:00;;114;;85;;;;;;;;68;66;212;;96;;;;207;
ke 23 heinä 2014 12:00;;138;;87;;;;;;;;89;67;290;;121;;;;196;
ke 23 heinä 2014 13:00;;170;;92;;;;;;;;100;72;225;;126;;;;191;
ke 23 heinä 2014 14:00;;159;;97;;;;;;;;107;66;207;;136;;;;233;
ke 23 heinä 2014 15:00;;189;;195;;;;;;;;209;127;294;;148;;;;337;
ke 23 heinä 2014 16:00;;277;;241;;;;;;;;208;192;429;;173;;;;421;
ke 23 heinä 2014 17:00;;241;;183;;;;;;;;206;170;372;;173;;;;369;
ke 23 heinä 2014 18:00;;190;;172;;;;;;;;137;143;269;;158;;;;293;
ke 23 heinä 2014 19:00;;157;;131;;;;;;;;123;103;256;;144;;;;229;
ke 23 heinä 2014 20:00;;123;;112;;;;;;;;121;84;226;;138;;;;198;
ke 23 heinä 2014 21:00;;88;;106;;;;;;;;93;103;184;;118;;;;217;
ke 23 heinä 2014 22:00;;77;;67;;;;;;;;55;53;87;;113;;;;109;
ke 23 heinä 2014 23:00;;48;;43;;;;;;;;27;22;48;;73;;;;76;
to 24 heinä 2014 00:00;;36;;45;;;;;;;;16;10;22;;65;;;;34;
to 24 heinä 2014 01:00;;19;;12;;;;;;;;10;4;16;;57;;;;24;
to 24 heinä 2014 02:00;;14;;10;;;;;;;;9;1;4;;32;;;;1;
to 24 heinä 2014 03:00;;9;;3;;;;;;;;6;2;4;;21;;;;8;
to 24 heinä 2014 04:00;;5;;9;;;;;;;;2;1;0;;12;;;;6;
to 24 heinä 2014 05:00;;10;;13;;;;;;;;12;8;16;;14;;;;25;
to 24 heinä 2014 06:00;;49;;48;;;;;;;;54;43;76;;31;;;;122;
to 24 heinä 2014 07:00;;87;;119;;;;;;;;157;140;186;;28;;;;230;
to 24 heinä 2014 08:00;;153;;197;;;;;;;;118;116;262;;69;;;;299;
to 24 heinä 2014 09:00;;126;;105;;;;;;;;81;61;187;;74;;;;213;
to 24 heinä 2014 10:00;;106;;70;;;;;;;;57;62;153;;82;;;;170;
to 24 heinä 2014 11:00;;117;;79;;;;;;;;80;57;170;;88;;;;169;
to 24 heinä 2014 12:00;;145;;88;;;;;;;;71;78;195;;107;;;;177;
to 24 heinä 2014 13:00;;144;;113;;;;;;;;88;66;200;;109;;;;221;
to 24 heinä 2014 14:00;;137;;113;;;;;;;;119;80;227;;125;;;;212;
to 24 heinä 2014 15:00;;184;;183;;;;;;;;175;131;281;;139;;;;301;
to 24 heinä 2014 16:00;;249;;248;;;;;;;;215;173;432;;166;;;;400;
to 24 heinä 2014 17:00;;174;;237;;;;;;;;149;156;356;;177;;;;355;
to 24 heinä 2014 18:00;;160;;153;;;;;;;;139;106;294;;181;;;;288;
to 24 heinä 2014 19:00;;131;;128;;;;;;;;110;79;245;;149;;;;236;
to 24 heinä 2014 20:00;;113;;115;;;;;;;;105;81;199;;150;;;;182;
to 24 heinä 2014 21:00;;88;;95;;;;;;;;61;55;162;;108;;;;166;
to 24 heinä 2014 22:00;;56;;58;;;;;;;;38;37;111;;72;;;;105;
to 24 heinä 2014 23:00;;47;;49;;;;;;;;21;17;28;;81;;;;66;
pe 25 heinä 2014 00:00;;41;;25;;;;;;;;12;16;24;;81;;;;34;
pe 25 heinä 2014 01:00;;20;;17;;;;;;;;12;6;16;;34;;;;20;
pe 25 heinä 2014 02:00;;10;;9;;;;;;;;7;4;10;;28;;;;14;
pe 25 heinä 2014 03:00;;13;;7;;;;;;;;0;5;2;;18;;;;3;
pe 25 heinä 2014 04:00;;3;;5;;;;;;;;2;4;3;;15;;;;4;
pe 25 heinä 2014 05:00;;9;;15;;;;;;;;8;8;17;;15;;;;30;
pe 25 heinä 2014 06:00;;45;;49;;;;;;;;53;36;68;;21;;;;99;
pe 25 heinä 2014 07:00;;74;;109;;;;;;;;130;109;168;;27;;;;209;
pe 25 heinä 2014 08:00;;141;;144;;;;;;;;123;91;205;;63;;;;232;
pe 25 heinä 2014 09:00;;127;;122;;;;;;;;69;49;168;;46;;;;193;
pe 25 heinä 2014 10:00;;111;;85;;;;;;;;74;47;168;;55;;;;134;
pe 25 heinä 2014 11:00;;124;;91;;;;;;;;61;56;155;;80;;;;176;
pe 25 heinä 2014 12:00;;103;;116;;;;;;;;80;77;205;;103;;;;205;
pe 25 heinä 2014 13:00;;145;;129;;;;;;;;102;68;206;;105;;;;185;
pe 25 heinä 2014 14:00;;153;;126;;;;;;;;117;81;204;;145;;;;217;
pe 25 heinä 2014 15:00;;183;;178;;;;;;;;144;132;283;;147;;;;302;
pe 25 heinä 2014 16:00;;188;;197;;;;;;;;156;148;321;;143;;;;313;
pe 25 heinä 2014 17:00;;157;;156;;;;;;;;113;129;247;;158;;;;278;
pe 25 heinä 2014 18:00;;149;;118;;;;;;;;105;88;214;;152;;;;217;
pe 25 heinä 2014 19:00;;122;;107;;;;;;;;89;66;180;;126;;;;182;
pe 25 heinä 2014 20:00;;108;;90;;;;;;;;80;63;161;;140;;;;163;
pe 25 heinä 2014 21:00;;106;;80;;;;;;;;84;42;108;;95;;;;123;
pe 25 heinä 2014 22:00;;78;;38;;;;;;;;55;40;76;;113;;;;84;
pe 25 heinä 2014 23:00;;65;;43;;;;;;;;28;26;37;;114;;;;65;
la 26 heinä 2014 00:00;;61;;28;;;;;;;;21;16;26;;101;;;;44;
la 26 heinä 2014 01:00;;62;;18;;;;;;;;19;14;22;;61;;;;42;
la 26 heinä 2014 02:00;;42;;18;;;;;;;;16;9;10;;74;;;;19;
la 26 heinä 2014 03:00;;24;;11;;;;;;;;7;10;15;;49;;;;11;
la 26 heinä 2014 04:00;;6;;12;;;;;;;;6;1;4;;35;;;;8;
la 26 heinä 2014 05:00;;9;;7;;;;;;;;9;2;7;;20;;;;18;
la 26 heinä 2014 06:00;;9;;18;;;;;;;;13;16;19;;12;;;;24;
la 26 heinä 2014 07:00;;19;;16;;;;;;;;19;28;31;;14;;;;45;
la 26 heinä 2014 08:00;;17;;49;;;;;;;;24;23;40;;13;;;;52;
la 26 heinä 2014 09:00;;73;;77;;;;;;;;37;43;74;;38;;;;99;
la 26 heinä 2014 10:00;;97;;76;;;;;;;;63;43;129;;62;;;;143;
la 26 heinä 2014 11:00;;96;;73;;;;;;;;67;84;144;;73;;;;204;
la 26 heinä 2014 12:00;;127;;112;;;;;;;;85;67;168;;75;;;;241;
la 26 heinä 2014 13:00;;151;;96;;;;;;;;91;68;217;;100;;;;212;
la 26 heinä 2014 14:00;;116;;107;;;;;;;;115;75;244;;122;;;;277;
la 26 heinä 2014 15:00;;152;;110;;;;;;;;104;67;203;;124;;;;226;
la 26 heinä 2014 16:00;;144;;99;;;;;;;;94;59;191;;127;;;;223;
la 26 heinä 2014 17:00;;158;;132;;;;;;;;90;83;260;;120;;;;252;
la 26 heinä 2014 18:00;;112;;104;;;;;;;;84;60;200;;123;;;;197;
la 26 heinä 2014 19:00;;88;;89;;;;;;;;83;39;164;;87;;;;167;
la 26 heinä 2014 20:00;;71;;85;;;;;;;;75;49;134;;82;;;;140;
la 26 heinä 2014 21:00;;89;;60;;;;;;;;50;43;104;;89;;;;118;
la 26 heinä 2014 22:00;;71;;63;;;;;;;;42;38;69;;77;;;;84;
la 26 heinä 2014 23:00;;66;;57;;;;;;;;21;32;37;;80;;;;66;
su 27 heinä 2014 00:00;;56;;33;;;;;;;;26;25;24;;83;;;;35;
su 27 heinä 2014 01:00;;41;;22;;;;;;;;26;5;23;;81;;;;34;
su 27 heinä 2014 02:00;;32;;18;;;;;;;;7;6;15;;67;;;;15;
su 27 heinä 2014 03:00;;28;;19;;;;;;;;6;8;9;;52;;;;20;
su 27 heinä 2014 04:00;;16;;9;;;;;;;;5;5;7;;34;;;;9;
su 27 heinä 2014 05:00;;9;;1;;;;;;;;10;5;8;;11;;;;11;
su 27 heinä 2014 06:00;;12;;12;;;;;;;;10;9;9;;15;;;;16;
su 27 heinä 2014 07:00;;15;;15;;;;;;;;20;21;24;;13;;;;40;
su 27 heinä 2014 08:00;;21;;14;;;;;;;;14;15;21;;32;;;;38;
su 27 heinä 2014 09:00;;38;;54;;;;;;;;39;33;39;;33;;;;73;
su 27 heinä 2014 10:00;;70;;62;;;;;;;;39;44;52;;49;;;;109;
su 27 heinä 2014 11:00;;67;;69;;;;;;;;65;68;94;;47;;;;173;
su 27 heinä 2014 12:00;;95;;75;;;;;;;;69;62;105;;71;;;;191;
su 27 heinä 2014 13:00;;115;;79;;;;;;;;95;65;114;;106;;;;207;
su 27 heinä 2014 14:00;;128;;125;;;;;;;;102;99;133;;112;;;;227;
su 27 heinä 2014 15:00;;103;;79;;;;;;;;95;59;143;;126;;;;177;
su 27 heinä 2014 16:00;;96;;113;;;;;;;;93;63;142;;95;;;;194;
su 27 heinä 2014 17:00;;114;;97;;;;;;;;109;76;195;;86;;;;186;
su 27 heinä 2014 18:00;;97;;89;;;;;;;;103;82;219;;91;;;;192;
su 27 heinä 2014 19:00;;82;;64;;;;;;;;92;73;218;;105;;;;177;
su 27 heinä 2014 20:00;;82;;67;;;;;;;;93;71;185;;84;;;;150;
su 27 heinä 2014 21:00;;69;;53;;;;;;;;69;56;149;;68;;;;128;
su 27 heinä 2014 22:00;;43;;42;;;;;;;;39;30;85;;70;;;;88;
su 27 heinä 2014 23:00;;19;;13;;;;;;;;22;27;49;;53;;;;51;
ma 28 heinä 2014 00:00;;20;;11;;;;;;;;6;11;18;;51;;;;23;
ma 28 heinä 2014 01:00;;7;;4;;;;;;;;9;6;11;;24;;;;12;
ma 28 heinä 2014 02:00;;6;;5;;;;;;;;5;2;7;;27;;;;7;
ma 28 heinä 2014 03:00;;7;;4;;;;;;;;0;3;2;;11;;;;3;
ma 28 heinä 2014 04:00;;0;;6;;;;;;;;4;6;7;;7;;;;7;
ma 28 heinä 2014 05:00;;10;;10;;;;;;;;5;11;21;;11;;;;27;
ma 28 heinä 2014 06:00;;49;;73;;;;;;;;69;56;75;;24;;;;107;
ma 28 heinä 2014 07:00;;106;;41;;;;;;;;187;176;215;;48;;;;305;
ma 28 heinä 2014 08:00;;211;;208;;;;;;;;162;166;373;;65;;;;394;
ma 28 heinä 2014 09:00;;160;;139;;;;;;;;85;85;240;;80;;;;257;
ma 28 heinä 2014 10:00;;125;;84;;;;;;;;54;65;165;;61;;;;161;
ma 28 heinä 2014 11:00;;130;;131;;;;;;;;44;57;141;;73;;;;137;
ma 28 heinä 2014 12:00;;131;;111;;;;;;;;50;67;175;;90;;;;187;
ma 28 heinä 2014 13:00;;144;;80;;;;;;;;77;58;210;;90;;;;174;
ma 28 heinä 2014 14:00;;154;;151;;;;;;;;85;65;206;;114;;;;249;
ma 28 heinä 2014 15:00;;221;;209;;;;;;;;180;135;328;;150;;;;331;
ma 28 heinä 2014 16:00;;285;;267;;;;;;;;231;181;480;;181;;;;492;
ma 28 heinä 2014 17:00;;251;;222;;;;;;;;202;177;427;;163;;;;413;
ma 28 heinä 2014 18:00;;157;;146;;;;;;;;138;143;325;;147;;;;288;
ma 28 heinä 2014 19:00;;122;;150;;;;;;;;130;103;274;;144;;;;246;
ma 28 heinä 2014 20:00;;116;;121;;;;;;;;127;106;207;;161;;;;235;
ma 28 heinä 2014 21:00;;88;;69;;;;;;;;82;73;170;;95;;;;169;
ma 28 heinä 2014 22:00;;67;;47;;;;;;;;60;44;94;;75;;;;109;
ma 28 heinä 2014 23:00;;41;;30;;;;;;;;22;19;35;;59;;;;52;
ti 29 heinä 2014 00:00;;24;;16;;;;;;;;10;7;22;;48;;;;25;
ti 29 heinä 2014 01:00;;7;;4;;;;;;;;2;4;12;;16;;;;13;
ti 29 heinä 2014 02:00;;7;;5;;;;;;;;7;3;4;;10;;;;7;
ti 29 heinä 2014 03:00;;6;;2;;;;;;;;0;3;1;;9;;;;3;
ti 29 heinä 2014 04:00;;1;;3;;;;;;;;0;4;9;;6;;;;6;
ti 29 heinä 2014 05:00;;8;;7;;;;;;;;6;4;14;;12;;;;24;
ti 29 heinä 2014 06:00;;47;;68;;;;;;;;65;63;85;;30;;;;130;
ti 29 heinä 2014 07:00;;113;;139;;;;;;;;184;157;277;;47;;;;335;
ti 29 heinä 2014 08:00;;224;;219;;;;;;;;176;176;385;;58;;;;422;
ti 29 heinä 2014 09:00;;150;;132;;;;;;;;112;67;260;;92;;;;271;
ti 29 heinä 2014 10:00;;110;;102;;;;;;;;55;60;163;;66;;;;157;
ti 29 heinä 2014 11:00;;136;;91;;;;;;;;61;50;159;;102;;;;165;
ti 29 heinä 2014 12:00;;133;;102;;;;;;;;72;49;170;;107;;;;170;
ti 29 heinä 2014 13:00;;152;;102;;;;;;;;59;41;172;;93;;;;173;
ti 29 heinä 2014 14:00;;165;;123;;;;;;;;91;73;201;;165;;;;199;
ti 29 heinä 2014 15:00;;206;;217;;;;;;;;197;130;307;;126;;;;340;
ti 29 heinä 2014 16:00;;269;;256;;;;;;;;204;215;467;;179;;;;476;
ti 29 heinä 2014 17:00;;246;;181;;;;;;;;188;137;344;;168;;;;370;
ti 29 heinä 2014 18:00;;148;;147;;;;;;;;158;112;254;;152;;;;247;
ti 29 heinä 2014 19:00;;133;;126;;;;;;;;99;94;256;;149;;;;249;
ti 29 heinä 2014 20:00;;94;;114;;;;;;;;110;88;209;;132;;;;232;
ti 29 heinä 2014 21:00;;79;;76;;;;;;;;101;64;159;;114;;;;168;
ti 29 heinä 2014 22:00;;59;;53;;;;;;;;58;48;94;;84;;;;94;
ti 29 heinä 2014 23:00;;47;;27;;;;;;;;34;21;37;;55;;;;56;
ke 30 heinä 2014 00:00;;26;;16;;;;;;;;6;14;21;;52;;;;34;
ke 30 heinä 2014 01:00;;10;;9;;;;;;;;12;4;8;;21;;;;14;
ke 30 heinä 2014 02:00;;5;;7;;;;;;;;0;5;1;;27;;;;3;
ke 30 heinä 2014 03:00;;0;;5;;;;;;;;1;3;3;;14;;;;8;
ke 30 heinä 2014 04:00;;1;;4;;;;;;;;3;4;2;;2;;;;7;
ke 30 heinä 2014 05:00;;10;;9;;;;;;;;10;8;29;;9;;;;27;
ke 30 heinä 2014 06:00;;50;;56;;;;;;;;70;54;86;;25;;;;116;
ke 30 heinä 2014 07:00;;130;;132;;;;;;;;170;178;247;;47;;;;311;
ke 30 heinä 2014 08:00;;187;;215;;;;;;;;155;148;344;;64;;;;390;
ke 30 heinä 2014 09:00;;166;;147;;;;;;;;86;72;284;;91;;;;251;
ke 30 heinä 2014 10:00;;121;;93;;;;;;;;59;51;171;;67;;;;175;
ke 30 heinä 2014 11:00;;138;;96;;;;;;;;57;57;184;;109;;;;148;
ke 30 heinä 2014 12:00;;143;;109;;;;;;;;81;55;206;;108;;;;171;
ke 30 heinä 2014 13:00;;144;;118;;;;;;;;63;80;217;;107;;;;176;
ke 30 heinä 2014 14:00;;162;;140;;;;;;;;89;73;251;;106;;;;244;
ke 30 heinä 2014 15:00;;250;;214;;;;;;;;159;145;318;;136;;;;352;
ke 30 heinä 2014 16:00;;310;;256;;;;;;;;234;213;455;;166;;;;476;
ke 30 heinä 2014 17:00;;284;;236;;;;;;;;195;174;444;;202;;;;479;
ke 30 heinä 2014 18:00;;182;;164;;;;;;;;157;129;313;;163;;;;295;
ke 30 heinä 2014 19:00;;133;;100;;;;;;;;82;76;213;;130;;;;181;
ke 30 heinä 2014 20:00;;88;;111;;;;;;;;98;69;170;;119;;;;162;
ke 30 heinä 2014 21:00;;74;;85;;;;;;;;88;81;167;;85;;;;196;
ke 30 heinä 2014 22:00;;59;;64;;;;;;;;67;39;94;;86;;;;100;
ke 30 heinä 2014 23:00;;35;;39;;;;;;;;24;27;28;;80;;;;34;
to 31 heinä 2014 00:00;;28;;23;;;;;;;;20;14;12;;45;;;;27;
to 31 heinä 2014 01:00;;14;;13;;;;;;;;7;2;3;;49;;;;18;
to 31 heinä 2014 02:00;;14;;9;;;;;;;;2;2;10;;24;;;;4;
to 31 heinä 2014 03:00;;10;;3;;;;;;;;3;0;3;;23;;;;8;
to 31 heinä 2014 04:00;;7;;4;;;;;;;;0;3;6;;14;;;;7;
to 31 heinä 2014 05:00;;9;;5;;;;;;;;9;7;15;;9;;;;32;
to 31 heinä 2014 06:00;;37;;57;;;;;;;;54;57;70;;26;;;;113;
to 31 heinä 2014 07:00;;122;;123;;;;;;;;163;136;217;;37;;;;270;
to 31 heinä 2014 08:00;;208;;186;;;;;;;;159;136;349;;61;;;;380;
to 31 heinä 2014 09:00;;163;;132;;;;;;;;101;68;240;;74;;;;258;
to 31 heinä 2014 10:00;;104;;94;;;;;;;;42;44;164;;68;;;;176;
to 31 heinä 2014 11:00;;147;;80;;;;;;;;68;47;175;;89;;;;154;
to 31 heinä 2014 12:00;;147;;96;;;;;;;;41;56;181;;90;;;;160;
to 31 heinä 2014 13:00;;146;;104;;;;;;;;67;55;183;;129;;;;152;
to 31 heinä 2014 14:00;;160;;133;;;;;;;;85;81;206;;130;;;;194;
to 31 heinä 2014 15:00;;148;;115;;;;;;;;119;83;164;;102;;;;190;
to 31 heinä 2014 16:00;;225;;170;;;;;;;;144;119;320;;114;;;;368;
to 31 heinä 2014 17:00;;197;;176;;;;;;;;121;112;293;;141;;;;296;
to 31 heinä 2014 18:00;;143;;133;;;;;;;;102;84;224;;134;;;;230;
to 31 heinä 2014 19:00;;102;;92;;;;;;;;67;71;165;;106;;;;174;
to 31 heinä 2014 20:00;;108;;94;;;;;;;;101;64;154;;126;;;;165;
to 31 heinä 2014 21:00;;81;;79;;;;;;;;62;56;144;;85;;;;135;
to 31 heinä 2014 22:00;;55;;47;;;;;;;;33;33;92;;89;;;;78;
to 31 heinä 2014 23:00;;47;;31;;;;;;;;23;11;42;;62;;;;48;
pe 1 elo 2014 00:00;;20;;14;;;;;;;;12;6;28;;49;;;;19;
pe 1 elo 2014 01:00;;12;;9;;;;;;;;5;5;8;;38;;;;13;
pe 1 elo 2014 02:00;;8;;5;;;;;;;;7;3;7;;17;;;;6;
pe 1 elo 2014 03:00;;8;;2;;;;;;;;0;1;2;;26;;;;4;
pe 1 elo 2014 04:00;;1;;6;;;;;;;;1;4;4;;10;;;;3;
pe 1 elo 2014 05:00;;16;;10;;;;;;;;10;3;11;;8;;;;22;
pe 1 elo 2014 06:00;;50;;57;;;;;;;;55;45;75;;27;;;;95;
pe 1 elo 2014 07:00;;89;;131;;;;;;;;150;136;181;;44;;;;255;
pe 1 elo 2014 08:00;;183;;179;;;;;;;;167;120;299;;68;;;;318;
pe 1 elo 2014 09:00;;137;;136;;;;;;;;93;81;231;;72;;;;240;
pe 1 elo 2014 10:00;;110;;138;;;;;;;;63;49;145;;87;;;;174;
pe 1 elo 2014 11:00;;162;;100;;;;;;;;65;50;193;;99;;;;177;
pe 1 elo 2014 12:00;;144;;116;;;;;;;;79;55;199;;108;;;;188;
pe 1 elo 2014 13:00;;145;;139;;;;;;;;73;54;213;;112;;;;203;
pe 1 elo 2014 14:00;;145;;135;;;;;;;;110;89;223;;118;;;;259;
pe 1 elo 2014 15:00;;232;;226;;;;;;;;169;149;337;;165;;;;351;
pe 1 elo 2014 16:00;;263;;223;;;;;;;;197;161;405;;172;;;;414;
pe 1 elo 2014 17:00;;206;;208;;;;;;;;146;102;325;;182;;;;337;
pe 1 elo 2014 18:00;;133;;170;;;;;;;;125;88;245;;181;;;;216;
pe 1 elo 2014 19:00;;117;;89;;;;;;;;85;87;222;;143;;;;208;
pe 1 elo 2014 20:00;;130;;110;;;;;;;;104;57;198;;146;;;;176;
pe 1 elo 2014 21:00;;88;;77;;;;;;;;61;43;130;;114;;;;126;
pe 1 elo 2014 22:00;;75;;57;;;;;;;;42;40;95;;105;;;;92;
pe 1 elo 2014 23:00;;50;;38;;;;;;;;22;17;52;;84;;;;55;
la 2 elo 2014 00:00;;46;;36;;;;;;;;20;15;41;;81;;;;45;
la 2 elo 2014 01:00;;36;;17;;;;;;;;9;12;27;;67;;;;37;
la 2 elo 2014 02:00;;20;;9;;;;;;;;3;11;21;;68;;;;24;
la 2 elo 2014 03:00;;28;;8;;;;;;;;3;5;22;;42;;;;17;
la 2 elo 2014 04:00;;9;;10;;;;;;;;8;4;14;;37;;;;9;
la 2 elo 2014 05:00;;5;;8;;;;;;;;1;1;10;;15;;;;10;
la 2 elo 2014 06:00;;11;;13;;;;;;;;17;14;18;;11;;;;21;
la 2 elo 2014 07:00;;25;;14;;;;;;;;26;21;25;;5;;;;33;
la 2 elo 2014 08:00;;26;;26;;;;;;;;35;16;44;;23;;;;50;
la 2 elo 2014 09:00;;51;;46;;;;;;;;30;36;93;;42;;;;97;
la 2 elo 2014 10:00;;103;;48;;;;;;;;54;43;108;;67;;;;128;
la 2 elo 2014 11:00;;110;;84;;;;;;;;69;55;147;;84;;;;162;
la 2 elo 2014 12:00;;134;;85;;;;;;;;74;56;282;;126;;;;207;
la 2 elo 2014 13:00;;132;;108;;;;;;;;119;62;199;;126;;;;218;
la 2 elo 2014 14:00;;150;;121;;;;;;;;86;66;210;;122;;;;207;
la 2 elo 2014 15:00;;155;;94;;;;;;;;109;79;215;;149;;;;211;
la 2 elo 2014 16:00;;133;;107;;;;;;;;100;84;205;;139;;;;197;
la 2 elo 2014 17:00;;122;;128;;;;;;;;87;75;225;;168;;;;181;
la 2 elo 2014 18:00;;85;;85;;;;;;;;82;88;202;;133;;;;188;
la 2 elo 2014 19:00;;92;;79;;;;;;;;69;64;131;;110;;;;134;
la 2 elo 2014 20:00;;78;;74;;;;;;;;58;72;133;;115;;;;121;
la 2 elo 2014 21:00;;62;;41;;;;;;;;69;36;114;;97;;;;82;
la 2 elo 2014 22:00;;53;;55;;;;;;;;36;29;69;;108;;;;83;
la 2 elo 2014 23:00;;61;;31;;;;;;;;30;21;31;;102;;;;47;
su 3 elo 2014 00:00;;50;;36;;;;;;;;15;11;28;;121;;;;45;
su 3 elo 2014 01:00;;58;;20;;;;;;;;19;14;22;;109;;;;36;
su 3 elo 2014 02:00;;29;;38;;;;;;;;13;7;26;;75;;;;29;
su 3 elo 2014 03:00;;21;;10;;;;;;;;13;5;11;;41;;;;17;
su 3 elo 2014 04:00;;8;;11;;;;;;;;4;4;11;;31;;;;13;
su 3 elo 2014 05:00;;6;;3;;;;;;;;0;4;4;;25;;;;16;
su 3 elo 2014 06:00;;5;;9;;;;;;;;14;13;13;;13;;;;19;
su 3 elo 2014 07:00;;14;;9;;;;;;;;15;18;19;;8;;;;20;
su 3 elo 2014 08:00;;22;;17;;;;;;;;18;20;33;;12;;;;27;
su 3 elo 2014 09:00;;34;;47;;;;;;;;33;27;53;;24;;;;69;
su 3 elo 2014 10:00;;61;;59;;;;;;;;55;48;101;;46;;;;118;
su 3 elo 2014 11:00;;103;;84;;;;;;;;67;60;156;;58;;;;169;
su 3 elo 2014 12:00;;88;;77;;;;;;;;84;70;206;;80;;;;238;
su 3 elo 2014 13:00;;129;;107;;;;;;;;113;69;243;;107;;;;243;
su 3 elo 2014 14:00;;118;;122;;;;;;;;114;88;218;;92;;;;235;
su 3 elo 2014 15:00;;122;;133;;;;;;;;117;78;248;;122;;;;244;
su 3 elo 2014 16:00;;134;;112;;;;;;;;105;103;251;;105;;;;255;
su 3 elo 2014 17:00;;124;;120;;;;;;;;126;80;262;;104;;;;240;
su 3 elo 2014 18:00;;102;;128;;;;;;;;119;94;196;;115;;;;247;
su 3 elo 2014 19:00;;87;;99;;;;;;;;101;99;246;;117;;;;196;
su 3 elo 2014 20:00;;82;;87;;;;;;;;77;73;168;;98;;;;168;
su 3 elo 2014 21:00;;55;;50;;;;;;;;55;38;130;;94;;;;108;
su 3 elo 2014 22:00;;40;;36;;;;;;;;52;30;77;;85;;;;78;
su 3 elo 2014 23:00;;28;;25;;;;;;;;18;7;34;;53;;;;48;
ma 4 elo 2014 00:00;;12;;15;;;;;;;;12;6;15;;33;;;;26;
ma 4 elo 2014 01:00;;7;;7;;;;;;;;5;2;7;;17;;;;7;
ma 4 elo 2014 02:00;;6;;1;;;;;;;;1;1;6;;20;;;;9;
ma 4 elo 2014 03:00;;3;;3;;;;;;;;1;0;0;;20;;;;2;
ma 4 elo 2014 04:00;;3;;3;;;;;;;;1;2;4;;5;;;;8;
ma 4 elo 2014 05:00;;15;;13;;;;;;;;10;12;20;;11;;;;38;
ma 4 elo 2014 06:00;;62;;64;;;;;;;;82;76;103;;20;;;;136;
ma 4 elo 2014 07:00;;167;;179;;;;;;;;273;207;338;;39;;;;355;
ma 4 elo 2014 08:00;;313;;286;;;;;;;;278;265;566;;98;;;;614;
ma 4 elo 2014 09:00;;189;;192;;;;;;;;117;90;334;;87;;;;331;
ma 4 elo 2014 10:00;;146;;81;;;;;;;;70;45;188;;91;;;;179;
ma 4 elo 2014 11:00;;148;;113;;;;;;;;64;57;176;;110;;;;174;
ma 4 elo 2014 12:00;;159;;105;;;;;;;;71;57;192;;109;;;;175;
ma 4 elo 2014 13:00;;137;;103;;;;;;;;82;76;190;;141;;;;190;
ma 4 elo 2014 14:00;;174;;161;;;;;;;;104;88;238;;136;;;;233;
ma 4 elo 2014 15:00;;245;;243;;;;;;;;251;168;425;;163;;;;404;
ma 4 elo 2014 16:00;;383;;383;;;;;;;;298;286;618;;203;;;;626;
ma 4 elo 2014 17:00;;295;;284;;;;;;;;271;237;575;;204;;;;563;
ma 4 elo 2014 18:00;;212;;204;;;;;;;;201;151;458;;192;;;;391;
ma 4 elo 2014 19:00;;154;;183;;;;;;;;141;124;384;;155;;;;318;
